date,key,value
09/01/16,Fillon,4
09/02/16,Fillon,1
09/03/16,Fillon,2
09/04/16,Fillon,0
09/05/16,Fillon,0
09/06/16,Fillon,1
09/07/16,Fillon,0
09/08/16,Fillon,0
09/09/16,Fillon,0
09/10/16,Fillon,0
09/11/16,Fillon,0
09/12/16,Fillon,2
09/13/16,Fillon,0
09/14/16,Fillon,1
09/15/16,Fillon,2
09/16/16,Fillon,0
09/17/16,Fillon,0
09/18/16,Fillon,0
09/19/16,Fillon,0
09/20/16,Fillon,0
09/21/16,Fillon,1
09/22/16,Fillon,0
09/23/16,Fillon,0
09/24/16,Fillon,0
09/25/16,Fillon,0
09/26/16,Fillon,0
09/27/16,Fillon,1
09/28/16,Fillon,1
09/29/16,Fillon,3
09/30/16,Fillon,2
10/01/16,Fillon,0
10/02/16,Fillon,1
10/03/16,Fillon,0
10/04/16,Fillon,2
10/05/16,Fillon,1
10/06/16,Fillon,0
10/07/16,Fillon,0
10/08/16,Fillon,1
10/09/16,Fillon,1
10/10/16,Fillon,3
10/11/16,Fillon,1
10/12/16,Fillon,1
10/13/16,Fillon,1
10/14/16,Fillon,0
10/15/16,Fillon,0
10/16/16,Fillon,0
10/17/16,Fillon,0
10/18/16,Fillon,2
10/19/16,Fillon,2
10/20/16,Fillon,2
10/21/16,Fillon,0
10/22/16,Fillon,0
10/23/16,Fillon,2
10/24/16,Fillon,0
10/25/16,Fillon,0
10/26/16,Fillon,0
10/27/16,Fillon,2
10/28/16,Fillon,3
10/29/16,Fillon,0
10/30/16,Fillon,0
10/31/16,Fillon,1
11/01/16,Fillon,0
11/02/16,Fillon,2
11/03/16,Fillon,0
11/04/16,Fillon,1
11/05/16,Fillon,0
11/06/16,Fillon,0
11/07/16,Fillon,0
11/08/16,Fillon,0
11/09/16,Fillon,2
11/10/16,Fillon,2
11/11/16,Fillon,2
11/12/16,Fillon,0
11/13/16,Fillon,2
11/14/16,Fillon,5
11/15/16,Fillon,5
11/16/16,Fillon,4
11/17/16,Fillon,5
11/18/16,Fillon,10
11/19/16,Fillon,1
11/20/16,Fillon,13
11/21/16,Fillon,51
11/22/16,Fillon,50
11/23/16,Fillon,43
11/24/16,Fillon,38
11/25/16,Fillon,45
11/26/16,Fillon,7
11/27/16,Fillon,30
11/28/16,Fillon,44
11/29/16,Fillon,28
11/30/16,Fillon,20
12/01/16,Fillon,11
12/02/16,Fillon,11
12/03/16,Fillon,0
12/04/16,Fillon,0
12/05/16,Fillon,1
12/06/16,Fillon,3
12/07/16,Fillon,13
12/08/16,Fillon,7
12/09/16,Fillon,4
12/10/16,Fillon,0
12/11/16,Fillon,1
12/12/16,Fillon,8
12/13/16,Fillon,11
12/14/16,Fillon,2
12/15/16,Fillon,9
12/16/16,Fillon,5
12/17/16,Fillon,4
12/18/16,Fillon,4
12/19/16,Fillon,6
12/20/16,Fillon,2
12/21/16,Fillon,4
12/22/16,Fillon,5
12/23/16,Fillon,3
12/24/16,Fillon,1
12/25/16,Fillon,0
12/26/16,Fillon,1
12/27/16,Fillon,3
12/28/16,Fillon,3
12/29/16,Fillon,0
12/30/16,Fillon,2
12/31/16,Fillon,1
01/01/17,Fillon,0
01/02/17,Fillon,10
01/03/17,Fillon,7
01/04/17,Fillon,10
01/05/17,Fillon,16
01/06/17,Fillon,11
01/07/17,Fillon,1
01/08/17,Fillon,3
01/09/17,Fillon,7
01/10/17,Fillon,18
01/11/17,Fillon,22
01/12/17,Fillon,14
01/13/17,Fillon,6
01/14/17,Fillon,7
01/15/17,Fillon,0
01/16/17,Fillon,8
01/17/17,Fillon,14
01/18/17,Fillon,6
01/19/17,Fillon,8
01/20/17,Fillon,3
01/21/17,Fillon,0
01/22/17,Fillon,4
01/23/17,Fillon,6
01/24/17,Fillon,8
01/25/17,Fillon,24
01/26/17,Fillon,23
01/27/17,Fillon,28
01/28/17,Fillon,8
01/29/17,Fillon,21
01/30/17,Fillon,17
01/31/17,Fillon,22
02/01/17,Fillon,51
02/02/17,Fillon,30
02/03/17,Fillon,40
02/04/17,Fillon,9
02/05/17,Fillon,11
02/06/17,Fillon,60
02/07/17,Fillon,44
02/08/17,Fillon,21
02/09/17,Fillon,12
02/10/17,Fillon,15
02/11/17,Fillon,5
02/12/17,Fillon,3
02/13/17,Fillon,3
02/14/17,Fillon,3
02/15/17,Fillon,4
09/01/16,Hollande,2
09/02/16,Hollande,3
09/03/16,Hollande,0
09/04/16,Hollande,3
09/05/16,Hollande,1
09/06/16,Hollande,4
09/07/16,Hollande,9
09/08/16,Hollande,14
09/09/16,Hollande,3
09/10/16,Hollande,0
09/11/16,Hollande,1
09/12/16,Hollande,2
09/13/16,Hollande,1
09/14/16,Hollande,2
09/15/16,Hollande,3
09/16/16,Hollande,2
09/17/16,Hollande,1
09/18/16,Hollande,3
09/19/16,Hollande,1
09/20/16,Hollande,0
09/21/16,Hollande,0
09/22/16,Hollande,4
09/23/16,Hollande,3
09/24/16,Hollande,0
09/25/16,Hollande,0
09/26/16,Hollande,5
09/27/16,Hollande,3
09/28/16,Hollande,3
09/29/16,Hollande,0
09/30/16,Hollande,2
10/01/16,Hollande,0
10/02/16,Hollande,5
10/03/16,Hollande,3
10/04/16,Hollande,1
10/05/16,Hollande,2
10/06/16,Hollande,1
10/07/16,Hollande,4
10/08/16,Hollande,0
10/09/16,Hollande,0
10/10/16,Hollande,0
10/11/16,Hollande,2
10/12/16,Hollande,4
10/13/16,Hollande,4
10/14/16,Hollande,3
10/15/16,Hollande,1
10/16/16,Hollande,5
10/17/16,Hollande,8
10/18/16,Hollande,6
10/19/16,Hollande,4
10/20/16,Hollande,3
10/21/16,Hollande,3
10/22/16,Hollande,0
10/23/16,Hollande,1
10/24/16,Hollande,3
10/25/16,Hollande,6
10/26/16,Hollande,2
10/27/16,Hollande,2
10/28/16,Hollande,4
10/29/16,Hollande,4
10/30/16,Hollande,0
10/31/16,Hollande,6
11/01/16,Hollande,3
11/02/16,Hollande,2
11/03/16,Hollande,5
11/04/16,Hollande,3
11/05/16,Hollande,1
11/06/16,Hollande,3
11/07/16,Hollande,3
11/08/16,Hollande,4
11/09/16,Hollande,4
11/10/16,Hollande,0
11/11/16,Hollande,2
11/12/16,Hollande,0
11/13/16,Hollande,3
11/14/16,Hollande,3
11/15/16,Hollande,4
11/16/16,Hollande,8
11/17/16,Hollande,3
11/18/16,Hollande,0
11/19/16,Hollande,3
11/20/16,Hollande,1
11/21/16,Hollande,6
11/22/16,Hollande,2
11/23/16,Hollande,2
11/24/16,Hollande,5
11/25/16,Hollande,4
11/26/16,Hollande,2
11/27/16,Hollande,3
11/28/16,Hollande,6
11/29/16,Hollande,7
11/30/16,Hollande,9
12/01/16,Hollande,21
12/02/16,Hollande,58
12/03/16,Hollande,8
12/04/16,Hollande,0
12/05/16,Hollande,10
12/06/16,Hollande,5
12/07/16,Hollande,3
12/08/16,Hollande,1
12/09/16,Hollande,2
12/10/16,Hollande,0
12/11/16,Hollande,0
12/12/16,Hollande,2
12/13/16,Hollande,0
12/14/16,Hollande,0
12/15/16,Hollande,0
12/16/16,Hollande,1
12/17/16,Hollande,0
12/18/16,Hollande,0
12/19/16,Hollande,0
12/20/16,Hollande,0
12/21/16,Hollande,1
12/22/16,Hollande,1
12/23/16,Hollande,0
12/24/16,Hollande,0
12/25/16,Hollande,1
12/26/16,Hollande,0
12/27/16,Hollande,1
12/28/16,Hollande,0
12/29/16,Hollande,3
12/30/16,Hollande,1
12/31/16,Hollande,3
01/01/17,Hollande,0
01/02/17,Hollande,2
01/03/17,Hollande,0
01/04/17,Hollande,1
01/05/17,Hollande,2
01/06/17,Hollande,3
01/07/17,Hollande,3
01/08/17,Hollande,1
01/09/17,Hollande,1
01/10/17,Hollande,2
01/11/17,Hollande,0
01/12/17,Hollande,6
01/13/17,Hollande,1
01/14/17,Hollande,1
01/15/17,Hollande,6
01/16/17,Hollande,3
01/17/17,Hollande,1
01/18/17,Hollande,1
01/19/17,Hollande,1
01/20/17,Hollande,2
01/21/17,Hollande,0
01/22/17,Hollande,4
01/23/17,Hollande,0
01/24/17,Hollande,1
01/25/17,Hollande,3
01/26/17,Hollande,0
01/27/17,Hollande,1
01/28/17,Hollande,0
01/29/17,Hollande,0
01/30/17,Hollande,6
01/31/17,Hollande,2
02/01/17,Hollande,0
02/02/17,Hollande,7
02/03/17,Hollande,2
02/04/17,Hollande,2
02/05/17,Hollande,2
02/06/17,Hollande,0
02/07/17,Hollande,0
02/08/17,Hollande,0
02/09/17,Hollande,1
02/10/17,Hollande,1
02/11/17,Hollande,1
02/12/17,Hollande,0
02/13/17,Hollande,1
02/14/17,Hollande,0
02/15/17,Hollande,0
09/01/16,Juppé,1
09/02/16,Juppé,0
09/03/16,Juppé,1
09/04/16,Juppé,0
09/05/16,Juppé,0
09/06/16,Juppé,1
09/07/16,Juppé,1
09/08/16,Juppé,2
09/09/16,Juppé,1
09/10/16,Juppé,0
09/11/16,Juppé,1
09/12/16,Juppé,0
09/13/16,Juppé,4
09/14/16,Juppé,6
09/15/16,Juppé,1
09/16/16,Juppé,0
09/17/16,Juppé,0
09/18/16,Juppé,2
09/19/16,Juppé,0
09/20/16,Juppé,2
09/21/16,Juppé,1
09/22/16,Juppé,3
09/23/16,Juppé,5
09/24/16,Juppé,2
09/25/16,Juppé,0
09/26/16,Juppé,3
09/27/16,Juppé,2
09/28/16,Juppé,4
09/29/16,Juppé,3
09/30/16,Juppé,2
10/01/16,Juppé,1
10/02/16,Juppé,4
10/03/16,Juppé,1
10/04/16,Juppé,4
10/05/16,Juppé,2
10/06/16,Juppé,6
10/07/16,Juppé,2
10/08/16,Juppé,4
10/09/16,Juppé,1
10/10/16,Juppé,7
10/11/16,Juppé,4
10/12/16,Juppé,7
10/13/16,Juppé,3
10/14/16,Juppé,3
10/15/16,Juppé,0
10/16/16,Juppé,2
10/17/16,Juppé,0
10/18/16,Juppé,10
10/19/16,Juppé,1
10/20/16,Juppé,4
10/21/16,Juppé,3
10/22/16,Juppé,0
10/23/16,Juppé,2
10/24/16,Juppé,1
10/25/16,Juppé,7
10/26/16,Juppé,2
10/27/16,Juppé,3
10/28/16,Juppé,2
10/29/16,Juppé,0
10/30/16,Juppé,1
10/31/16,Juppé,2
11/01/16,Juppé,4
11/02/16,Juppé,8
11/03/16,Juppé,6
11/04/16,Juppé,4
11/05/16,Juppé,2
11/06/16,Juppé,2
11/07/16,Juppé,5
11/08/16,Juppé,4
11/09/16,Juppé,2
11/10/16,Juppé,3
11/11/16,Juppé,1
11/12/16,Juppé,2
11/13/16,Juppé,1
11/14/16,Juppé,7
11/15/16,Juppé,12
11/16/16,Juppé,5
11/17/16,Juppé,7
11/18/16,Juppé,2
11/19/16,Juppé,0
11/20/16,Juppé,6
11/21/16,Juppé,20
11/22/16,Juppé,22
11/23/16,Juppé,20
11/24/16,Juppé,27
11/25/16,Juppé,26
11/26/16,Juppé,2
11/27/16,Juppé,14
11/28/16,Juppé,10
11/29/16,Juppé,1
11/30/16,Juppé,0
12/01/16,Juppé,1
12/02/16,Juppé,3
12/03/16,Juppé,2
12/04/16,Juppé,0
12/05/16,Juppé,0
12/06/16,Juppé,0
12/07/16,Juppé,0
12/08/16,Juppé,1
12/09/16,Juppé,0
12/10/16,Juppé,0
12/11/16,Juppé,0
12/12/16,Juppé,0
12/13/16,Juppé,0
12/14/16,Juppé,0
12/15/16,Juppé,1
12/16/16,Juppé,1
12/17/16,Juppé,0
12/18/16,Juppé,0
12/19/16,Juppé,1
12/20/16,Juppé,2
12/21/16,Juppé,1
12/22/16,Juppé,0
12/23/16,Juppé,1
12/24/16,Juppé,0
12/25/16,Juppé,0
12/26/16,Juppé,0
12/27/16,Juppé,0
12/28/16,Juppé,0
12/29/16,Juppé,0
12/30/16,Juppé,0
12/31/16,Juppé,0
01/01/17,Juppé,0
01/02/17,Juppé,0
01/03/17,Juppé,0
01/04/17,Juppé,0
01/05/17,Juppé,0
01/06/17,Juppé,0
01/07/17,Juppé,2
01/08/17,Juppé,0
01/09/17,Juppé,0
01/10/17,Juppé,0
01/11/17,Juppé,0
01/12/17,Juppé,2
01/13/17,Juppé,1
01/14/17,Juppé,0
01/15/17,Juppé,1
01/16/17,Juppé,0
01/17/17,Juppé,0
01/18/17,Juppé,0
01/19/17,Juppé,0
01/20/17,Juppé,1
01/21/17,Juppé,0
01/22/17,Juppé,0
01/23/17,Juppé,0
01/24/17,Juppé,0
01/25/17,Juppé,2
01/26/17,Juppé,0
01/27/17,Juppé,2
01/28/17,Juppé,0
01/29/17,Juppé,0
01/30/17,Juppé,0
01/31/17,Juppé,0
02/01/17,Juppé,3
02/02/17,Juppé,2
02/03/17,Juppé,1
02/04/17,Juppé,0
02/05/17,Juppé,1
02/06/17,Juppé,6
02/07/17,Juppé,1
02/08/17,Juppé,1
02/09/17,Juppé,0
02/10/17,Juppé,1
02/11/17,Juppé,1
02/12/17,Juppé,1
02/13/17,Juppé,0
02/14/17,Juppé,0
02/15/17,Juppé,0
09/01/16,Macron,8
09/02/16,Macron,1
09/03/16,Macron,0
09/04/16,Macron,4
09/05/16,Macron,0
09/06/16,Macron,1
09/07/16,Macron,2
09/08/16,Macron,0
09/09/16,Macron,1
09/10/16,Macron,1
09/11/16,Macron,1
09/12/16,Macron,2
09/13/16,Macron,1
09/14/16,Macron,1
09/15/16,Macron,1
09/16/16,Macron,0
09/17/16,Macron,1
09/18/16,Macron,0
09/19/16,Macron,1
09/20/16,Macron,2
09/21/16,Macron,1
09/22/16,Macron,4
09/23/16,Macron,0
09/24/16,Macron,1
09/25/16,Macron,2
09/26/16,Macron,3
09/27/16,Macron,0
09/28/16,Macron,0
09/29/16,Macron,0
09/30/16,Macron,0
10/01/16,Macron,1
10/02/16,Macron,3
10/03/16,Macron,2
10/04/16,Macron,6
10/05/16,Macron,5
10/06/16,Macron,0
10/07/16,Macron,1
10/08/16,Macron,0
10/09/16,Macron,0
10/10/16,Macron,1
10/11/16,Macron,2
10/12/16,Macron,1
10/13/16,Macron,0
10/14/16,Macron,1
10/15/16,Macron,0
10/16/16,Macron,1
10/17/16,Macron,1
10/18/16,Macron,7
10/19/16,Macron,1
10/20/16,Macron,0
10/21/16,Macron,0
10/22/16,Macron,0
10/23/16,Macron,0
10/24/16,Macron,0
10/25/16,Macron,2
10/26/16,Macron,2
10/27/16,Macron,0
10/28/16,Macron,0
10/29/16,Macron,0
10/30/16,Macron,0
10/31/16,Macron,0
11/01/16,Macron,0
11/02/16,Macron,0
11/03/16,Macron,2
11/04/16,Macron,1
11/05/16,Macron,2
11/06/16,Macron,1
11/07/16,Macron,0
11/08/16,Macron,3
11/09/16,Macron,2
11/10/16,Macron,2
11/11/16,Macron,0
11/12/16,Macron,1
11/13/16,Macron,0
11/14/16,Macron,1
11/15/16,Macron,6
11/16/16,Macron,30
11/17/16,Macron,12
11/18/16,Macron,7
11/19/16,Macron,2
11/20/16,Macron,1
11/21/16,Macron,3
11/22/16,Macron,1
11/23/16,Macron,1
11/24/16,Macron,3
11/25/16,Macron,5
11/26/16,Macron,1
11/27/16,Macron,0
11/28/16,Macron,2
11/29/16,Macron,3
11/30/16,Macron,2
12/01/16,Macron,3
12/02/16,Macron,4
12/03/16,Macron,1
12/04/16,Macron,4
12/05/16,Macron,0
12/06/16,Macron,4
12/07/16,Macron,7
12/08/16,Macron,7
12/09/16,Macron,5
12/10/16,Macron,7
12/11/16,Macron,7
12/12/16,Macron,12
12/13/16,Macron,2
12/14/16,Macron,3
12/15/16,Macron,4
12/16/16,Macron,6
12/17/16,Macron,2
12/18/16,Macron,2
12/19/16,Macron,4
12/20/16,Macron,1
12/21/16,Macron,3
12/22/16,Macron,1
12/23/16,Macron,2
12/24/16,Macron,1
12/25/16,Macron,1
12/26/16,Macron,0
12/27/16,Macron,1
12/28/16,Macron,0
12/29/16,Macron,0
12/30/16,Macron,3
12/31/16,Macron,0
01/01/17,Macron,0
01/02/17,Macron,3
01/03/17,Macron,1
01/04/17,Macron,2
01/05/17,Macron,5
01/06/17,Macron,6
01/07/17,Macron,2
01/08/17,Macron,3
01/09/17,Macron,3
01/10/17,Macron,6
01/11/17,Macron,8
01/12/17,Macron,8
01/13/17,Macron,4
01/14/17,Macron,8
01/15/17,Macron,8
01/16/17,Macron,18
01/17/17,Macron,14
01/18/17,Macron,3
01/19/17,Macron,8
01/20/17,Macron,4
01/21/17,Macron,1
01/22/17,Macron,3
01/23/17,Macron,5
01/24/17,Macron,9
01/25/17,Macron,7
01/26/17,Macron,7
01/27/17,Macron,1
01/28/17,Macron,1
01/29/17,Macron,2
01/30/17,Macron,10
01/31/17,Macron,15
02/01/17,Macron,16
02/02/17,Macron,5
02/03/17,Macron,8
02/04/17,Macron,7
02/05/17,Macron,10
02/06/17,Macron,5
02/07/17,Macron,6
02/08/17,Macron,1
02/09/17,Macron,4
02/10/17,Macron,8
02/11/17,Macron,1
02/12/17,Macron,2
02/13/17,Macron,0
02/14/17,Macron,0
02/15/17,Macron,0
09/01/16,Mélenchon,0
09/02/16,Mélenchon,0
09/03/16,Mélenchon,0
09/04/16,Mélenchon,0
09/05/16,Mélenchon,0
09/06/16,Mélenchon,0
09/07/16,Mélenchon,0
09/08/16,Mélenchon,1
09/09/16,Mélenchon,0
09/10/16,Mélenchon,1
09/11/16,Mélenchon,1
09/12/16,Mélenchon,0
09/13/16,Mélenchon,0
09/14/16,Mélenchon,0
09/15/16,Mélenchon,3
09/16/16,Mélenchon,1
09/17/16,Mélenchon,1
09/18/16,Mélenchon,0
09/19/16,Mélenchon,1
09/20/16,Mélenchon,1
09/21/16,Mélenchon,0
09/22/16,Mélenchon,1
09/23/16,Mélenchon,0
09/24/16,Mélenchon,0
09/25/16,Mélenchon,0
09/26/16,Mélenchon,0
09/27/16,Mélenchon,0
09/28/16,Mélenchon,0
09/29/16,Mélenchon,0
09/30/16,Mélenchon,0
10/01/16,Mélenchon,0
10/02/16,Mélenchon,0
10/03/16,Mélenchon,0
10/04/16,Mélenchon,0
10/05/16,Mélenchon,0
10/06/16,Mélenchon,1
10/07/16,Mélenchon,1
10/08/16,Mélenchon,0
10/09/16,Mélenchon,1
10/10/16,Mélenchon,1
10/11/16,Mélenchon,0
10/12/16,Mélenchon,0
10/13/16,Mélenchon,1
10/14/16,Mélenchon,0
10/15/16,Mélenchon,3
10/16/16,Mélenchon,2
10/17/16,Mélenchon,0
10/18/16,Mélenchon,2
10/19/16,Mélenchon,0
10/20/16,Mélenchon,0
10/21/16,Mélenchon,0
10/22/16,Mélenchon,0
10/23/16,Mélenchon,0
10/24/16,Mélenchon,0
10/25/16,Mélenchon,1
10/26/16,Mélenchon,0
10/27/16,Mélenchon,0
10/28/16,Mélenchon,0
10/29/16,Mélenchon,0
10/30/16,Mélenchon,1
10/31/16,Mélenchon,0
11/01/16,Mélenchon,1
11/02/16,Mélenchon,2
11/03/16,Mélenchon,1
11/04/16,Mélenchon,3
11/05/16,Mélenchon,4
11/06/16,Mélenchon,0
11/07/16,Mélenchon,3
11/08/16,Mélenchon,2
11/09/16,Mélenchon,1
11/10/16,Mélenchon,0
11/11/16,Mélenchon,1
11/12/16,Mélenchon,0
11/13/16,Mélenchon,0
11/14/16,Mélenchon,1
11/15/16,Mélenchon,1
11/16/16,Mélenchon,1
11/17/16,Mélenchon,2
11/18/16,Mélenchon,1
11/19/16,Mélenchon,0
11/20/16,Mélenchon,1
11/21/16,Mélenchon,1
11/22/16,Mélenchon,0
11/23/16,Mélenchon,1
11/24/16,Mélenchon,1
11/25/16,Mélenchon,0
11/26/16,Mélenchon,4
11/27/16,Mélenchon,2
11/28/16,Mélenchon,1
11/29/16,Mélenchon,2
11/30/16,Mélenchon,5
12/01/16,Mélenchon,2
12/02/16,Mélenchon,1
12/03/16,Mélenchon,1
